code,name,provinceCode,name_norm
5404,林芝市,54,林芝
5405,山南市,54,山南
5406,那曲市,54,那曲
5425,阿里地区,54,阿里地区
6101,西安市,61,西安
6102,铜川市,61,铜川
6103,宝鸡市,61,宝鸡
6104,咸阳市,61,咸阳
6105,渭南市,61,渭南
6106,延安市,61,延安
6107,汉中市,61,汉中
6108,榆林市,61,榆林
6109,安康市,61,安康
6110,商洛市,61,商洛
6201,兰州市,62,兰州
6202,嘉峪关市,62,嘉峪关
6203,金昌市,62,金昌
6204,白银市,62,白银
6205,天水市,62,天水
6206,武威市,62,武威
6207,张掖市,62,张掖
6208,平凉市,62,平凉
6209,酒泉市,62,酒泉
6210,庆阳市,62,庆阳
6211,定西市,62,定西
6212,陇南市,62,陇南
6229,临夏回族自治州,62,临夏回族自治州
6230,甘南藏族自治州,62,甘南藏族自治州
6301,西宁市,63,西宁
6302,海东市,63,海东
6322,海北藏族自治州,63,海北藏族自治州
6323,黄南藏族自治州,63,黄南藏族自治州
6325,海南藏族自治州,63,海南藏族自治州
6326,果洛藏族自治州,63,果洛藏族自治州
6327,玉树藏族自治州,63,玉树藏族自治州
6328,海西蒙古族藏族自治州,63,海西蒙古族藏族自治州
6401,银川市,64,银川
6402,石嘴山市,64,石嘴山
6403,吴忠市,64,吴忠
6404,固原市,64,固原
6405,中卫市,64,中卫
6501,乌鲁木齐市,65,乌鲁木齐
6502,克拉玛依市,65,克拉玛依
6504,吐鲁番市,65,吐鲁番
6505,哈密市,65,哈密
6523,昌吉回族自治州,65,昌吉回族自治州
6527,博尔塔拉蒙古自治州,65,博尔塔拉蒙古自治州
6528,巴音郭楞蒙古自治州,65,巴音郭楞蒙古自治州
6529,阿克苏地区,65,阿克苏地区
6530,克孜勒苏柯尔克孜自治州,65,克孜勒苏柯尔克孜自治州
6531,喀什地区,65,喀什地区
6532,和田地区,65,和田地区
6540,伊犁哈萨克自治州,65,伊犁哈萨克自治州
6542,塔城地区,65,塔城地区
6543,阿勒泰地区,65,阿勒泰地区
